IDs	Locus1(1)	Locus1(2)	Locus2(1)	Locus2(2)	Locus3(1)	Locus3(2)	Locus4(1)	Locus4(2)	Locus5(1)	Locus5(2)	Locus6(1)	Locus6(2)	Locus7(1)	Locus7(2)	Locus8(1)	Locus8(2)	Locus9(1)	Locus9(2)	Locus10(1)	Locus10(2)	Locus11(1)	Locus11(2)	Locus12(1)	Locus12(2)	Locus13(1)	Locus13(2)	Locus14(1)	Locus14(2)	Locus15(1)	Locus15(2)	Locus16(1)	Locus16(2)	Locus17(1)	Locus17(2)	Locus18(1)	Locus18(2)	Locus19(1)	Locus19(2)	Locus20(1)	Locus20(2)	Locus21(1)	Locus21(2)	Locus22(1)	Locus22(2)	Locus23(1)	Locus23(2)	Locus24(1)	Locus24(2)	Locus25(1)	Locus25(2)	Locus26(1)	Locus26(2)	Locus27(1)	Locus27(2)	Locus28(1)	Locus28(2)	Locus29(1)	Locus29(2)	Locus30(1)	Locus30(2)	Locus17(1)1	Locus17(2)1	Locus9(1)2	Locus9(2)2	Locus7(1)3	Locus7(2)3	Locus20(1)4	Locus20(2)4	Locus19(1)5	Locus19(2)5	Locus13(1)6	Locus13(2)6	Locus22(1)7	Locus22(2)7	Locus6(1)8	Locus6(2)8	Locus13(1)9	Locus13(2)9	Locus16(1)10	Locus16(2)10	Locus25(1)11	Locus25(2)11	Locus10(1)12	Locus10(2)12	Locus20(1)13	Locus20(2)13	Locus20(1)14	Locus20(2)14	Locus22(1)15	Locus22(2)15	Locus20(1)16	Locus20(2)16	Locus15(1)17	Locus15(2)17	Locus26(1)18	Locus26(2)18	Locus21(1)19	Locus21(2)19	Locus28(1)20	Locus28(2)20
Indv01	174	180	169	173	123	137	190	194	121	123	211	217	213	213	199	203	184	192	232	252	88	106	293	293	377	381	331	331	192	200	363	367	315	327	319	319	241	249	127	127	178	182	273	281	114	116	209	217	114	122	97	99	151	153	284	284	111	113	100	100	315	327	184	192	213	213	127	127	241	249	377	381	273	281	211	217	377	381	363	367	114	122	232	252	127	127	127	127	273	281	127	127	192	200	97	99	178	182	284	284
Indv02	174	180	153	173	127	137	190	194	123	125	211	211	213	217	199	207	184	192	252	252	88	122	285	293	377	401	331	335	200	203	271	367	327	327	319	331	241	249	127	127	182	182	277	281	114	114	209	229	120	122	95	99	151	153	284	284	111	113	96	100	327	327	184	192	213	217	127	127	241	249	377	401	277	281	211	211	377	401	271	367	120	122	252	252	127	127	127	127	277	281	127	127	200	203	95	99	182	182	284	284
Indv03	174	174	161	171	129	135	180	190	121	125	201	209	209	217	195	203	184	192	236	260	88	88	293	293	381	405	335	335	211	219	367	367	315	327	319	323	245	253	115	119	182	182	253	273	112	116	209	223	112	120	97	99	151	153	284	286	111	115	100	100	315	327	184	192	209	217	115	119	245	253	381	405	253	273	201	209	381	405	367	367	112	120	236	260	115	119	115	119	253	273	115	119	211	219	97	99	182	182	284	286
Indv04	170	174	153	169	129	135	180	190	125	125	199	209	217	217	203	205	184	184	236	252	88	122	285	293	385	385	327	331	207	219	367	371	323	323	323	327	245	253	115	135	158	158	273	281	112	120	207	209	118	122	95	99	151	153	284	290	111	111	96	96	323	323	184	184	217	217	115	135	245	253	385	385	273	281	199	209	385	385	367	371	118	122	236	252	115	135	115	135	273	281	115	135	207	219	95	99	158	158	284	290
Indv05	172	188	153	169	123	139	182	194	121	123	195	199	215	217	203	207	184	192	232	244	88	88	289	289	389	409	327	331	196	203	363	379	315	327	311	315	241	253	135	135	178	186	261	273	118	120	219	223	114	122	97	99	151	151	286	286	107	111	100	100	315	327	184	192	215	217	135	135	241	253	389	409	261	273	195	199	389	409	363	379	114	122	232	244	135	135	135	135	261	273	135	135	196	203	97	99	178	186	286	286
Indv06	174	174	159	169	123	135	182	194	121	123	205	217	209	213	203	203	184	184	232	264	106	106	293	293	381	393	331	331	192	219	363	403	315	323	319	339	233	249	115	127	178	182	261	273	116	116	217	223	114	122	97	101	151	153	284	284	109	111	96	100	315	323	184	184	209	213	115	127	233	249	381	393	261	273	205	217	381	393	363	403	114	122	232	264	115	127	115	127	261	273	115	127	192	219	97	101	178	182	284	284
